id,@id,geometry,lat_lon,centroid
way/581443953,way/581443953,"POLYGON ((705542.3784220521 3047678.730633932, 705540.4855329068 3047672.6025660285, 705543.3457609677 3047671.730643565, 705545.2485265776 3047677.8588779573, 705542.3784220521 3047678.730633932))","[(705542.3784220521, 3047678.730633932), (705540.4855329068, 3047672.6025660285), (705543.3457609677, 3047671.730643565), (705545.2485265776, 3047677.8588779573), (705542.3784220521, 3047678.730633932)]",POINT (705542.8651691758 3047675.2322463593)
way/581443954,way/581443954,"POLYGON ((705549.7504509914 3047685.715572237, 705548.0344623196 3047681.40827, 705557.0456476526 3047677.8686784995, 705558.7517561876 3047682.175816163, 705549.7504509914 3047685.715572237))","[(705549.7504509914, 3047685.715572237), (705548.0344623196, 3047681.40827), (705557.0456476526, 3047677.8686784995), (705558.7517561876, 3047682.175816163), (705549.7504509914, 3047685.715572237)]",POINT (705553.3948348304 3047681.791985657)
way/581443955,way/581443955,"POLYGON ((705529.8792939483 3047681.690679054, 705528.7555865012 3047677.4154996187, 705533.5486635079 3047676.177021764, 705534.6624917889 3047680.452035765, 705529.8792939483 3047681.690679054))","[(705529.8792939483, 3047681.690679054), (705528.7555865012, 3047677.4154996187), (705533.5486635079, 3047676.177021764), (705534.6624917889, 3047680.452035765), (705529.8792939483, 3047681.690679054)]",POINT (705531.7110917113 3047678.9331851443)
way/581443956,way/581443956,"POLYGON ((705535.5108185243 3047689.3557484983, 705534.1623076196 3047682.582865605, 705539.4162830369 3047681.5516481935, 705540.7647912491 3047688.324531829, 705535.5108185243 3047689.3557484983))","[(705535.5108185243, 3047689.3557484983), (705534.1623076196, 3047682.582865605), (705539.4162830369, 3047681.5516481935), (705540.7647912491, 3047688.324531829), (705535.5108185243, 3047689.3557484983)]",POINT (705537.4635500623 3047685.453698235)
way/581443957,way/581443957,"POLYGON ((705541.6406071456 3047703.2362973318, 705541.7357502913 3047697.5739135663, 705544.7089285167 3047697.623871207, 705544.6137839931 3047703.286255035, 705541.6406071456 3047703.2362973318))","[(705541.6406071456, 3047703.2362973318), (705541.7357502913, 3047697.5739135663), (705544.7089285167, 3047697.623871207), (705544.6137839931, 3047703.286255035), (705541.6406071456, 3047703.2362973318)]",POINT (705543.1747674942 3047700.430084067)
way/581443958,way/581443958,"POLYGON ((705536.8076955768 3047706.8461023974, 705535.0271973197 3047701.085699152, 705537.8876046198 3047700.2026948305, 705539.6679155454 3047705.9741795477, 705536.8076955768 3047706.8461023974))","[(705536.8076955768, 3047706.8461023974), (705535.0271973197, 3047701.085699152), (705537.8876046198, 3047700.2026948305), (705539.6679155454, 3047705.9741795477), (705536.8076955768, 3047706.8461023974)]",POINT (705537.347848549 3047703.5264874604)
way/581443959,way/581443959,"POLYGON ((705529.7469387231 3047701.329504124, 705529.1202514964 3047695.111871224, 705533.0988944365 3047694.7131866883, 705533.7255796995 3047700.930819912, 705529.7469387231 3047701.329504124))","[(705529.7469387231, 3047701.329504124), (705529.1202514964, 3047695.111871224), (705533.0988944365, 3047694.7131866883), (705533.7255796995, 3047700.930819912), (705529.7469387231, 3047701.329504124)]",POINT (705531.4229160696 3047698.0213452284)
way/581443960,way/581443960,"POLYGON ((705525.9235581068 3047691.899189826, 705526.1845765393 3047686.948976747, 705530.0247584934 3047687.1465068096, 705529.7637384977 3047692.0967199034, 705525.9235581068 3047691.899189826))","[(705525.9235581068, 3047691.899189826), (705526.1845765393, 3047686.948976747), (705530.0247584934, 3047687.1465068096), (705529.7637384977, 3047692.0967199034), (705525.9235581068, 3047691.899189826)]",POINT (705527.9741579243 3047689.522848155)
way/581443961,way/581443961,"POLYGON ((705519.7154067978 3047695.031447139, 705518.7702188595 3047689.540015616, 705525.1513615169 3047688.4612250105, 705526.0866690924 3047693.9524912327, 705519.7154067978 3047695.031447139))","[(705519.7154067978, 3047695.031447139), (705518.7702188595, 3047689.540015616), (705525.1513615169, 3047688.4612250105), (705526.0866690924, 3047693.9524912327), (705519.7154067978, 3047695.031447139)]",POINT (705522.430623654 3047691.7456368175)
way/581443962,way/581443962,"POLYGON ((705515.828808401 3047674.072598072, 705514.0425121626 3047668.0682514207, 705519.573055883 3047666.454213624, 705521.349658265 3047672.4473142847, 705515.828808401 3047674.072598072))","[(705515.828808401, 3047674.072598072), (705514.0425121626, 3047668.0682514207), (705519.573055883, 3047666.454213624), (705521.349658265, 3047672.4473142847), (705515.828808401, 3047674.072598072)]",POINT (705517.6973568513 3047670.260357129)
way/581443963,way/581443963,"POLYGON ((705508.4068246782 3047677.7054219726, 705505.999522924 3047671.025597298, 705510.9297588479 3047669.2684615566, 705513.3372445899 3047675.9372063465, 705508.4068246782 3047677.7054219726))","[(705508.4068246782, 3047677.7054219726), (705505.999522924, 3047671.025597298), (705510.9297588479, 3047669.2684615566), (705513.3372445899, 3047675.9372063465), (705508.4068246782, 3047677.7054219726)]",POINT (705509.6678878657 3047673.484804237)
way/581443964,way/581443964,"POLYGON ((705512.8374050683 3047686.281369543, 705510.7325927097 3047679.828307651, 705515.193176172 3047678.384722929, 705517.2979865634 3047684.837785707, 705512.8374050683 3047686.281369543))","[(705512.8374050683, 3047686.281369543), (705510.7325927097, 3047679.828307651), (705515.193176172, 3047678.384722929), (705517.2979865634, 3047684.837785707), (705512.8374050683, 3047686.281369543)]",POINT (705514.0152900609 3047682.3330462077)
way/581443965,way/581443965,"POLYGON ((705505.0596812234 3047691.6816762197, 705502.1401733861 3047681.967284894, 705510.5311185356 3047679.4702313086, 705513.4506206596 3047689.1846249797, 705505.0596812234 3047691.6816762197))","[(705505.0596812234, 3047691.6816762197), (705502.1401733861, 3047681.967284894), (705510.5311185356, 3047679.4702313086), (705513.4506206596, 3047689.1846249797), (705505.0596812234, 3047691.6816762197)]",POINT (705507.795398323 3047685.575953769)
way/581443966,way/581443966,"POLYGON ((705491.5060753953 3047693.8924926748, 705489.5566054605 3047683.4850172405, 705497.4063452103 3047682.0318541736, 705499.3459312519 3047692.4391652998, 705491.5060753953 3047693.8924926748))","[(705491.5060753953, 3047693.8924926748), (705489.5566054605, 3047683.4850172405), (705497.4063452103, 3047682.0318541736), (705499.3459312519, 3047692.4391652998), (705491.5060753953, 3047693.8924926748)]",POINT (705494.4534214684 3047687.961101909)
way/581443967,way/581443967,"POLYGON ((705505.857499867 3047699.476125712, 705504.4310928655 3047693.8103497233, 705515.3451189252 3047691.1007523327, 705516.771707579 3047696.7554488825, 705505.857499867 3047699.476125712))","[(705505.857499867, 3047699.476125712), (705504.4310928655, 3047693.8103497233), (705515.3451189252, 3047691.1007523327), (705516.771707579, 3047696.7554488825), (705505.857499867, 3047699.476125712)]",POINT (705510.599716865 3047695.286205164)
way/581443968,way/581443968,"POLYGON ((705508.2545558007 3047706.765405093, 705506.9112678606 3047700.857174537, 705513.7644723726 3047699.320776378, 705515.0978796438 3047705.2288419195, 705508.2545558007 3047706.765405093))","[(705508.2545558007, 3047706.765405093), (705506.9112678606, 3047700.857174537), (705513.7644723726, 3047699.320776378), (705515.0978796438, 3047705.2288419195), (705508.2545558007, 3047706.765405093)]",POINT (705511.006672424 3047703.0424251626)
way/581443969,way/581443969,"POLYGON ((705507.5351882507 3047717.8263477306, 705506.094010937 3047709.511220274, 705512.405998112 3047708.43126211, 705513.8471713979 3047716.7463905565, 705507.5351882507 3047717.8263477306))","[(705507.5351882507, 3047717.8263477306), (705506.094010937, 3047709.511220274), (705512.405998112, 3047708.43126211), (705513.8471713979, 3047716.7463905565), (705507.5351882507, 3047717.8263477306)]",POINT (705509.9705921154 3047713.1288047167)
way/581443970,way/581443970,"POLYGON ((705500.4363704033 3047710.4580807397, 705498.0785886699 3047700.8307154574, 705503.6639135932 3047699.483610692, 705506.0317552004 3047709.100062247, 705500.4363704033 3047710.4580807397))","[(705500.4363704033, 3047710.4580807397), (705498.0785886699, 3047700.8307154574), (705503.6639135932, 3047699.483610692), (705506.0317552004, 3047709.100062247), (705500.4363704033, 3047710.4580807397)]",POINT (705502.0526929814 3047704.969935858)
way/581443971,way/581443971,"POLYGON ((705493.6109220496 3047710.9308773587, 705489.8756725985 3047701.5463930685, 705494.2024255737 3047699.8345346753, 705497.9374863106 3047709.2301014224, 705493.6109220496 3047710.9308773587))","[(705493.6109220496, 3047710.9308773587), (705489.8756725985, 3047701.5463930685), (705494.2024255737, 3047699.8345346753), (705497.9374863106, 3047709.2301014224), (705493.6109220496, 3047710.9308773587)]",POINT (705493.9067061278 3047705.384613871)
way/581443972,way/581443972,"POLYGON ((705494.770228914 3047724.26237001, 705493.5816526669 3047719.7311699144, 705496.4495096836 3047718.992375073, 705497.6380849896 3047723.5235755034, 705494.770228914 3047724.26237001))","[(705494.770228914, 3047724.26237001), (705493.5816526669, 3047719.7311699144), (705496.4495096836, 3047718.992375073), (705497.6380849896, 3047723.5235755034), (705494.770228914, 3047724.26237001)]",POINT (705495.6098690348 3047721.6273724968)
way/581443973,way/581443973,"POLYGON ((705488.4254185634 3047723.767841386, 705487.9528824188 3047719.5479413946, 705492.1400625986 3047719.086242707, 705492.6027197028 3047723.305977013, 705488.4254185634 3047723.767841386))","[(705488.4254185634, 3047723.767841386), (705487.9528824188, 3047719.5479413946), (705492.1400625986, 3047719.086242707), (705492.6027197028, 3047723.305977013), (705488.4254185634, 3047723.767841386)]",POINT (705490.2800775385 3047721.4261928597)
way/581443974,way/581443974,"POLYGON ((705492.5290880213 3047731.8062534225, 705490.5169209215 3047726.3079846995, 705493.6482962666 3047725.174588078, 705495.6604622363 3047730.6728573837, 705492.5290880213 3047731.8062534225))","[(705492.5290880213, 3047731.8062534225), (705490.5169209215, 3047726.3079846995), (705493.6482962666, 3047725.174588078), (705495.6604622363, 3047730.6728573837), (705492.5290880213, 3047731.8062534225)]",POINT (705493.0886918053 3047728.4904207196)
way/581443975,way/581443975,"POLYGON ((705480.85740561 3047720.803180473, 705478.9919193564 3047715.983508913, 705487.2654087705 3047712.83050598, 705489.1210148167 3047717.6500130235, 705480.85740561 3047720.803180473))","[(705480.85740561, 3047720.803180473), (705478.9919193564, 3047715.983508913), (705487.2654087705, 3047712.83050598), (705489.1210148167, 3047717.6500130235), (705480.85740561, 3047720.803180473)]",POINT (705484.0582866466 3047716.816573321)
way/581443976,way/581443976,"POLYGON ((705483.5466135647 3047741.8749115756, 705482.7547794208 3047735.488246553, 705485.6161170234 3047735.137283869, 705486.3980721014 3047741.523783236, 705483.5466135647 3047741.8749115756))","[(705483.5466135647, 3047741.8749115756), (705482.7547794208, 3047735.488246553), (705485.6161170234, 3047735.137283869), (705486.3980721014, 3047741.523783236), (705483.5466135647, 3047741.8749115756)]",POINT (705484.5786219194 3047738.504253031)
way/581443977,way/581443977,"POLYGON ((705475.6074289668 3047733.3619629527, 705472.2934280877 3047726.5449895263, 705481.4472971188 3047722.1542667393, 705484.7612945198 3047728.9712428474, 705475.6074289668 3047733.3619629527))","[(705475.6074289668, 3047733.3619629527), (705472.2934280877, 3047726.5449895263), (705481.4472971188, 3047722.1542667393), (705484.7612945198, 3047728.9712428474), (705475.6074289668, 3047733.3619629527)]",POINT (705478.5273621483 3047727.758115232)
way/581443978,way/581443978,"POLYGON ((705471.396960966 3047751.0923190503, 705470.1366628554 3047739.6545163346, 705474.8484663458 3047739.135119806, 705476.1087601957 3047750.572923268, 705471.396960966 3047751.0923190503))","[(705471.396960966, 3047751.0923190503), (705470.1366628554, 3047739.6545163346), (705474.8484663458, 3047739.135119806), (705476.1087601957, 3047750.572923268), (705471.396960966, 3047751.0923190503)]",POINT (705473.1227125045 3047745.1137187458)
way/581443979,way/581443979,"POLYGON ((705458.8488981077 3047745.206488631, 705457.8075589061 3047741.320644096, 705461.797350067 3047740.2570784437, 705462.8385020302 3047744.154004369, 705458.8488981077 3047745.206488631))","[(705458.8488981077, 3047745.206488631), (705457.8075589061, 3047741.320644096), (705461.797350067, 3047740.2570784437), (705462.8385020302, 3047744.154004369), (705458.8488981077, 3047745.206488631)]",POINT (705460.3238933479 3047742.7340812474)
way/581443980,way/581443980,"POLYGON ((705462.5606238121 3047752.4624190736, 705460.6960406777 3047746.4124293076, 705466.0291746752 3047744.7839706424, 705467.8937555657 3047750.8339613546, 705462.5606238121 3047752.4624190736))","[(705462.5606238121, 3047752.4624190736), (705460.6960406777, 3047746.4124293076), (705466.0291746752, 3047744.7839706424), (705467.8937555657, 3047750.8339613546), (705462.5606238121, 3047752.4624190736)]",POINT (705464.2948986326 3047748.6231948696)
way/581443981,way/581443981,"POLYGON ((705455.5864117756 3047750.0286996663, 705454.0912461311 3047745.514522949, 705457.1512358455 3047744.5129279546, 705458.646400548 3047749.027105102, 705455.5864117756 3047750.0286996663))","[(705455.5864117756, 3047750.0286996663), (705454.0912461311, 3047745.514522949), (705457.1512358455, 3047744.5129279546), (705458.646400548, 3047749.027105102), (705455.5864117756, 3047750.0286996663)]",POINT (705456.3688235414 3047747.270813796)
way/581443982,way/581443982,"POLYGON ((705455.362884088 3047755.1014672294, 705454.5028918383 3047751.595528539, 705459.2849363983 3047750.4233437465, 705460.1548050389 3047753.9294487555, 705455.362884088 3047755.1014672294))","[(705455.362884088, 3047755.1014672294), (705454.5028918383, 3047751.595528539), (705459.2849363983, 3047750.4233437465), (705460.1548050389, 3047753.9294487555), (705455.362884088, 3047755.1014672294)]",POINT (705457.3267963172 3047752.7629452613)
way/581443983,way/581443983,"POLYGON ((705476.2297996122 3047763.3660200234, 705475.1474433482 3047758.3932415387, 705479.4015069103 3047757.478214495, 705480.4838615947 3047762.450993452, 705476.2297996122 3047763.3660200234))","[(705476.2297996122, 3047763.3660200234), (705475.1474433482, 3047758.3932415387), (705479.4015069103, 3047757.478214495), (705480.4838615947, 3047762.450993452), (705476.2297996122, 3047763.3660200234)]",POINT (705477.8156528412 3047760.422117219)
way/581443984,way/581443984,"POLYGON ((705462.8673174636 3047765.9680160074, 705461.4048616594 3047757.153752848, 705471.233424197 3047755.53430025, 705472.7055648058 3047764.359811894, 705462.8673174636 3047765.9680160074))","[(705462.8673174636, 3047765.9680160074), (705461.4048616594, 3047757.153752848), (705471.233424197, 3047755.53430025), (705472.7055648058, 3047764.359811894), (705462.8673174636, 3047765.9680160074)]",POINT (705467.0540476706 3047760.754348191)
way/581443985,way/581443985,"POLYGON ((705487.751510686 3047779.177077228, 705486.1845642604 3047772.467035291, 705488.5849966721 3047771.9088173923, 705490.1519419064 3047778.6188597092, 705487.751510686 3047779.177077228))","[(705487.751510686, 3047779.177077228), (705486.1845642604, 3047772.467035291), (705488.5849966721, 3047771.9088173923), (705490.1519419064, 3047778.6188597092), (705487.751510686, 3047779.177077228)]",POINT (705488.168253318 3047775.542947121)
